id,name,gender,member_since,year_of_birth,place_of_birth,genres
1535,Shari Randall,female,September 16 2009,1992,Zambia,Mystery$Crime
1536,W. Michael Gear,male,March 6 2015,1964,Bissau,Fiction$Nonfiction
1537,Margaret Wise Brown,female,February 12 2008,1987,Czech,Children S Books
1538,Bernard Cornwell,male,June 16 2007,1993,Lebanon,Historical$Thriller
1539,Jackson Pearce,female,June 11 2010,1990,United States,Young Adult
1540,Jean Rhys,female,August 5 2007,1968,Armenia,Science Fiction
1541,Ednah Walters,female,February 16 2007,1952,El Salvador,Romance
1542,Elizabeth Scott,male,April 21 2011,1977,New Zealand,Young Adult
1543,Julie Reece,female,April 10 2015,1998,Antigua,Young Adult
1544,Paolo Bacigalupi,male,July 24 2008,1954,Iran,Science Fiction
1545,T.F. Walsh,female,January 22 2009,1950,Luxembourg,Paranormal
1546,Michelle Diener,female,March 14 2015,1988,Switzerland,Historical
1547,Desmond Young,male,March 13 2016,1973,South Sudan,Biography$History
1548,Vi Keeland,female,March 17 2010,1988,Tanzania,Romance
1549,Bridget Zinn,female,May 13 2010,1996,Kenya,Young Adult
1550,Emily St. John Mandel,female,October 23 2019,1988,India,Fiction
1551,Robert Penn Warren,male,July 5 2019,1986,Liberia,Poetry$Science Fiction
1552,Anand Neelakantan,male,March 14 2018,1953,Chad,Fiction$Religion Spirituality
1553,Cecelia Ahern,female,March 14 2012,1981,Bahrain,Chick Lit
1554,Irene Helenowski,female,September 20 2007,1960,Niger,Science Fiction$Fantasy
1555,Chuck Dixon,male,February 7 2014,1998,Cameroon,Comics Graphic Novels
1556,Jason  Matthews,male,October 13 2011,1978,Czech,Thriller$Suspense
1557,Alexandra Ivy,female,January 14 2019,1960,Argentina,Romance
1558,Caroline Peckham,female,February 2 2016,1957,Kuwait,Young Adult
1559,Sylvain Reynard,male,February 6 2015,1953,Honduras,Fiction
1560,Heidi Ashworth,female,September 4 2019,1956,Tanzania,Romance
1561,Dan Slott,male,January 26 2017,1968,Bolivia,Comics Graphic Novels
1562,Georgia Cates,male,January 14 2011,1991,Argentina,Romance$Adult Fiction
1563,Ransom Riggs,male,June 1 2017,1974,Brunei,Young Adult
1564,Kelley Armstrong,female,June 10 2012,1953,Uzbekistan,Science Fiction$Thriller
1565,P.C. Cast,female,June 22 2008,1972,Canada,Young Adult
1566,Kevin Henkes,male,April 23 2016,1964,Lebanon,Children S Books
1567,Hunter S. Jones,female,March 7 2011,1963,East Timor,History
1568,Ira Levin,male,December 18 2011,1972,Austria,Thriller$Fiction
1569,Tim Lebbon,male,October 25 2013,1976,Cuba,Horror
1570,Cheryl Yeko,male,July 7 2011,1993,Panama,Romance
1571,Carlos Ruiz Zafón,male,March 27 2016,1964,Afghanistan,Fiction
1572,Charity Bradford,female,August 20 2010,1993,Malta,Science Fiction
1573,Agatha Christie,female,November 6 2014,1964,New Zealand,Mystery$Crime
1574,Jessica Anthony,male,August 24 2014,1973,Bahamas,Science Fiction
1575,Cat Winters,female,June 12 2009,1970,Djibouti,Historical
1576,Benjamin Black,male,February 7 2016,1950,Tonga,Thriller$Fiction
1577,Britta Lundin,female,July 8 2013,1974,Senegal,Young Adult
1578,Shanna Swendson,female,March 14 2011,1966,New Zealand,Romance$Science Fiction
1579,Christopher Moore,male,May 11 2012,1963,Venezuela,Fiction
1580,Dakota Rebel,female,September 5 2015,1974,Czech,Romance$Erotica
1581,Kris Waldherr,male,December 4 2016,1955,Scotland,Women Gender Studies
1582,Marieke Nijkamp,male,July 24 2014,1978,Romania,Young Adult
1583,Louise Murphy,female,December 19 2014,1984,Iran,Fiction$Poetry
1584,Colleen McCullough,female,December 12 2014,1999,USA,Historical$Romance$Memoir
1585,E.D. Baker,female,August 5 2009,1984,Palau,Science Fiction
1586,Steven Erikson,male,January 2 2007,1953,Myanmar,Science Fiction
1587,Diane Duane,female,May 7 2016,1975,USA,Science Fiction$Young Adult
1588,Charles Addams,male,September 26 2012,1972,Suriname,Comics Graphic Novels$Horror
1589,Eden Summers,male,October 15 2016,1955,Grenadines,Romance
1590,Nicole  Williams,female,March 13 2010,1991,Serbia,Young Adult
1591,Robert Bloch,male,October 13 2015,1971,Bissau,Horror$Thriller$Science Fiction
1592,Pat Conroy,male,August 9 2014,1997,Marshall,Fiction$Nonfiction
1593,Raymond Briggs,male,October 13 2014,1967,East Timor,Children S Books$Comics Graphic Novels
1594,Steven Stickler,male,February 7 2012,1978,Angola,Children S Books
1595,John Keay,male,August 15 2016,1999,Gambia,History
1596,Scarlett Dawn,female,January 28 2017,1987,Estonia,Romance
1597,Cindy Pon,female,April 15 2011,1957,Vatican,Young Adult
1598,John Julius Norwich,male,March 8 2016,1954,Russia,History
1599,Jordan Sonnenblick,male,October 7 2016,1992,Maldives,Children S Books$Young Adult
1600,Stewart O'Nan,male,May 21 2015,1973,Jordan,Fiction
1601,Gwen Hayes,female,March 16 2013,1974,Central African Republic,Young Adult$Romance
1602,James W. Loewen,male,November 12 2015,1954,Kosovo,History$Nonfiction
1603,Esphyr Slobodkina,male,October 21 2011,1950,Finland,Children S
1604,Janet Evanovich,male,April 11 2010,1953,Lithuania,Thriller
1605,Hala Alyan,female,November 1 2017,1957,Slovenia,Poetry
1606,Simon Winchester,male,June 6 2017,1968,Czech,Nonfiction$History
1607,Martha Marks,male,September 24 2009,1958,Ivory Coast,Historical
1608,Julie Buxbaum,male,April 17 2010,1962,Wales,Fiction
1609,Gregory David Roberts,male,March 18 2011,1996,Bahrain,Fiction$Screenwriter
1610,Robert  Allison,male,April 26 2007,1962,Thailand,Science Fiction$Historical
1611,Yury Olesha,male,June 23 2016,1971,Tajikistan,Classics$Fiction
1612,Christopher  Shields,male,January 26 2019,1967,Grenada,Young Adult
1613,Emily Brontë,female,September 10 2018,1991,Antigua,Science Fiction$Poetry
1614,H.D. Gordon,female,February 5 2009,1968,Nigeria,Fantasy
1615,Skye Warren,male,May 26 2007,1968,India,Romance$Suspense
1616,L.J. Shen,female,March 14 2011,1995,Mauritius,Romance$Young Adult
1617,Annie Rains,female,November 16 2012,1996,Benin,Romance
1618,Barry Banther,male,April 23 2016,1962,Senegal,Business
1619,Kaye Gibbons,female,June 1 2017,1971,Korea,Fiction
1620,J.D. Field,male,November 16 2013,1957,Bangladesh,Young Adult
1621,Alex Garland,male,April 13 2007,1957,Scottish,Fiction
1622,Betty  Smith,female,August 11 2009,1999,Oman,Fiction
1623,Heidi Cullinan,female,March 26 2014,1990,Syria,Gay Lesbian
1624,Bernal Díaz del Castillo,male,January 6 2017,1992,Belarus,History$Nonfiction$Biographies Memoirs
1625,Adrian Phoenix,female,January 25 2008,1977,Myanmar,Science Fiction
1626,Mary  Weber,female,October 9 2015,1957,Luxembourg,Young Adult
1627,Carrie Jones,female,December 5 2017,1955,Jordan,Children S Books$Young Adult
1628,Henry James,male,November 18 2014,1969,Mali,Fiction$Short Stories
1629,Lilith Saintcrow,female,April 8 2007,1970,Bhutan,Science Fiction$Romance
1630,Michael Chabon,male,November 20 2018,1958,Azerbaijan,Fiction
1631,Elizabeth Letts,male,October 7 2013,1960,Sierra Leone,Fiction
1632,T.M. Frazier,female,December 22 2014,1989,Togo,Science Fiction
1633,Isaac Bashevis Singer,male,June 6 2017,1952,Samoa,Science Fiction$Fiction
1634,Jacquelyn Frank,male,September 5 2016,1998,Israel,Romance$Science Fiction
1635,Janette Sebring Lowrey,female,February 27 2016,1979,Sudan,Children S Books
1636,Constantinos P. Cavafis,male,May 23 2019,1982,Peru,Poetry$Science Fiction
1637,Tonya Hurley,female,January 6 2012,1994,South Sudan,Young Adult
1638,Jennifer Roy,male,February 17 2014,1966,Cyprus,Children S
1639,Patricia C. Wrede,female,January 23 2018,1996,New Zealand,Young Adult$Fantasy
1640,N. Griffin,female,July 25 2010,1988,Kuwait,Young Adult
1641,Piper Vaughn,male,February 9 2019,1952,Cape Verde,Gay Lesbian
1642,Michelle Muto,female,April 28 2012,1961,Bhutan,Young Adult
1643,Iris Chang,female,March 22 2012,1973,Slovenia,History$Nonfiction
1644,Justin Halpern,male,November 8 2007,1963,Japan,Humor
1645,Kylie Scott,male,May 16 2019,1989,San Marino,Romance
1646,Sheri  Fink,female,July 13 2014,1951,England,Fiction
1647,Jude Deveraux,female,December 8 2018,1953,Gabon,Romance
1648,Lenore Look,male,May 14 2013,1962,Switzerland,Children S Books
1649,Stacy Green,female,December 17 2009,1957,Jordan,Thriller
1650,Jane Nickerson,female,January 9 2017,1998,Central African Republic,Young Adult$Historical
1651,Alice Sebold,male,January 5 2008,1965,Great Britain,Fiction$Biographies Memoirs
1652,Sara Donati,female,June 14 2019,1974,East Timor,Historical
1653,Richard J. Davidson,male,May 27 2014,1956,Bahrain,Psychology$Health Mind Body
1654,Jess  Russell,female,June 12 2015,1995,Malawi,Romance
1655,Myra McEntire,male,June 4 2007,1967,Nigeria,Science Fiction
1656,Anna Breslaw,male,June 4 2016,1950,Mali,Young Adult
1657,Tere Michaels,female,August 25 2015,1963,Papua,Romance
1658,Manna Francis,male,August 7 2015,1953,Yemen,Gay And Lesbian$Science Fiction
1659,Bridget Tyler,female,October 9 2017,1994,Zambia,Science Fiction
1660,Heather Lynn Rigaud,female,January 16 2008,1971,America,Romance
1661,Colleen Clayton,female,January 15 2009,1971,Georgia,Young Adult$Fiction
1662,James N. Cook,male,February 25 2017,1972,Taiwan,Science Fiction$Horror$Thriller
1663,Jonathan L. Ferrara,male,August 6 2011,1996,Seychelles,Young Adult
1664,Claudia Gray,male,September 21 2011,1989,Japan,Young Adult
1665,Megan Whitmer,female,September 21 2014,1985,Italy,Young Adult
1666,Lucy Monroe,female,July 12 2012,1989,Uganda,Romance
1667,Markus Zusak,male,May 7 2008,1958,Paraguay,Fiction
1668,Isabel Abedi,male,March 2 2017,1989,Jamaica,Young Adult
1669,Dawn White,female,November 5 2018,1954,Hungary,Crime
1670,Noah Levine,male,February 27 2016,1965,Kuwait,Religion Spirituality$Philosophy
1671,Astrid Yrigollen,female,March 5 2010,1957,Serbia,Young Adult
1672,Frank E. Peretti,male,February 7 2009,1951,Nauru,Thriller
1673,Roshani Chokshi,male,May 6 2015,1989,Yemen,Fantasy
1674,Nicholas Sparks,male,June 19 2016,1977,Zimbabwe,Fiction
1675,R.J. Larson,female,March 12 2013,1986,Niger,Fiction
1676,Crystal King,female,April 11 2014,1966,Guinea,Historical
1677,Lamar Giles,male,March 4 2019,1961,Malawi,Young Adult
1678,Kevin Brockmeier,male,March 10 2016,1956,Holland,Fiction$Science Fiction$Children S Books
1679,Lara Chapman,female,November 15 2012,1973,Guatemala,Children S
1680,Brian Keene,male,July 9 2015,1994,Estonia,Horror
1681,Michael Connelly,male,November 3 2009,1992,Kosovo,Crime
1682,Peter Høeg,male,September 26 2007,1954,Antigua,Fiction$Mystery
1683,Jessica Concha,female,December 4 2016,1970,Bissau,Science Fiction
1684,J.M. Barlog,male,November 10 2010,1996,Hungary,Horror$Historical
1685,L.E. Modesitt Jr.,male,June 2 2014,1988,Gambia,Science Fiction
1686,Megan   Smith,female,April 10 2012,1956,Liechtenstein,Romance
1687,Chris Wooding,male,November 7 2019,1957,Ireland,Fiction
1688,Elie Wiesel,male,April 27 2007,1964,China,Memoir$Science Fiction
1689,Shirow Miwa,male,February 23 2012,1954,Mauritania,Manga
1690,Rabindranath Tagore,male,May 7 2018,1989,Spain,Poetry$Fiction$Philosophy
1691,LaVyrle Spencer,female,May 5 2011,1972,Bosnia,Romance$Historical
1692,Christine  Reilly,female,June 28 2010,1957,Latvia,Science Fiction
1693,Chris Snider,male,December 20 2019,1985,Argentina,Horror
1694,Tanith Lee,female,February 3 2010,1983,Bosnia,Science Fiction$Horror
1695,Paige Toon,male,May 11 2017,1979,Lesotho,Chick Lit
1696,Cynthia Rylant,female,October 23 2010,1968,United States,Children S Books$Young Adult
1697,P.G. Wodehouse,male,October 17 2008,1999,Cape Verde,Science Fiction$Humor
1698,Patrick Dillon,male,May 10 2012,1961,Scotland,Nonfiction
1699,Beth Kery,female,August 6 2009,1991,Emirate,Romance
1700,Emma Straub,female,February 9 2013,1993,Kenya,Fiction
1701,Jasper Fforde,male,December 10 2011,1995,Malta,Science Fiction
1702,Gwyn Hyman Rubio,female,March 15 2018,1960,St Lucia,Fiction
1703,Greer Noble,female,January 4 2016,1981,Grenadines,Suspense
1704,Kimberley Griffiths Little,female,June 22 2017,1978,Venezuela,Young Adult
1705,Eugenia Kim,female,December 22 2016,1990,Scotland,Historical
1706,David Westheimer,male,August 14 2008,1968,Czech,Science Fiction$Memoir
1707,P.D. James,female,September 26 2007,1986,Belgium,Crime$Mystery$Suspense
1708,Michele Bardsley,male,December 8 2013,1960,El Salvador,Paranormal
1709,Linwood Barclay,male,August 12 2018,1984,Bissau,Thriller
1710,Genevieve Dewey,male,July 11 2007,1996,Philippines,Fiction
1711,Atul Gawande,male,December 21 2016,1960,Somalia,Nonfiction
1712,John Christopher,male,May 27 2009,1983,British,Science Fiction$Children S Books
1713,A.G. Howard,female,September 16 2015,1974,Georgia,Young Adult
1714,Sylvain Neuvel,male,September 26 2011,1976,Bangladesh,Science Fiction
1715,Farah Oomerbhoy,female,February 17 2011,1982,Honduras,Young Adult
1716,Nicolette Day,female,February 21 2007,1968,Central African Republic,Romance
1717,Shinobu Gotoh,male,May 4 2008,1990,Antigua,Manga$Gay And Lesbian
1718,Paulette Jiles,female,September 13 2014,1987,Tanzania,Fiction$Fiction
1719,Angela E. Brooks,female,December 14 2010,1984,Haiti,Ebooks
1720,Kimberly McCreight,female,December 15 2017,1983,Tunisia,Fiction
1721,Stanley M. Giannet,male,January 11 2008,1958,Gambia,Health Mind Body$Nonfiction$Philosophy
1722,Rachel Vincent,female,January 15 2013,1957,Saudi Arabia,Science Fiction$Young Adult
1723,E.B. White,male,December 17 2011,1999,San Marino,Children S Books$Fiction$Fiction
1724,Kady Cross,female,May 17 2015,1988,Tanzania,Historical
1725,Carlton Mellick III,male,October 23 2014,1957,Czech,Fiction
1726,Michael Cart,male,January 16 2012,1974,Gabon,Fiction$Young Adult
1727,George R. Stewart,male,November 7 2014,1959,Mali,Science Fiction$Fiction$Outdoors Nature
1728,Tracy Grant,female,May 5 2010,1982,Morocco,Thriller
1729,A.L. Jackson,female,November 4 2018,1952,Scotland,Romance
1730,Susan Stoker,female,September 9 2018,1995,Serbia,Romance
1731,Hans Christian Andersen,male,July 2 2019,1951,Congo,Children S$Fairytales$Poetry
1732,O.J. Simpson,male,September 7 2019,1960,Grenada,Memoir$Crime
1733,Kenneth H. Blanchard,male,June 10 2007,1981,Bhutan,Business
1734,Thug Kitchen,male,January 16 2019,1950,Sri Lanka,Cookbooks
1735,Sean      Allen,male,October 4 2010,1999,St Kitts,Science Fiction
1736,Jonathan Tropper,male,May 21 2008,1996,Malawi,Fiction
1737,Amber Lough,female,January 8 2011,1986,Wales,Fantasy
1738,Nina Lane,female,February 10 2009,1993,Mozambique,Fiction
1739,Simon R. Green,male,June 22 2017,1996,India,Science Fiction
1740,Otoh Saki,female,May 26 2014,1985,Macedonia,Manga
1741,Walter Isaacson,male,October 20 2016,1967,Malta,Biography$History
1742,Hisamu Oto,male,August 7 2012,1970,Poland,Manga
1743,Marcus Pfister,male,December 7 2009,1954,Peru,Children S Books
1744,Jasper Kent,male,August 22 2008,1998,St Lucia,Horror
1745,John Scalzi,male,February 14 2009,1995,Congo,Science Fiction$Science Fiction
1746,Edna O'Brien,female,April 3 2008,1972,Algeria,Fiction
1747,Melissa Kantor,male,September 11 2015,1963,Slovakia,Young Adult
1748,Raine Miller,female,May 11 2017,1995,Great Britain,Romance
1749,R.L. Griffin,female,August 13 2018,1991,Iran,Science Fiction
1750,Roseanna M. White,female,August 9 2015,1989,El Salvador,Christian Fiction
1751,Barbara Elsborg,female,February 19 2017,1955,Tuvalu,Paranormal$Romance
1752,Kendall Grey,male,December 22 2014,1956,Gabon,Science Fiction
1753,Scott Lynch,male,November 25 2011,1995,Eritrea,Science Fiction
1754,Lucinda Riley,female,August 26 2013,1993,El Salvador,Historical
1755,Christine S. Feldman,female,February 18 2012,1992,Peru,Romance$Fantasy
1756,Kaylee Ryan,female,February 12 2007,1960,Dominica,Romance
1757,Diana Ballew,female,April 8 2017,1973,Oman,Romance
1758,Shungiku Nakamura,male,March 13 2014,1961,Italy,Yaoi$Slice Of Life$Manga
1759,Gore Vidal,male,May 1 2013,1978,Canada,Biography$Science Fiction$Historical
1760,Olivia Brynn,female,April 21 2007,1950,Monaco,Romance
1761,Jonathan Swift,male,December 9 2015,1968,Haiti,Science Fiction$Satire$Poetry
1762,Adam Jay Epstein,male,October 17 2010,1999,San Marino,Young Adult$Children S Books
1763,Fannie Flagg,male,April 3 2013,1993,Zambia,Fiction
1764,Michelle Howard,male,May 19 2008,1962,Spain,Romance$Paranormal
1765,Annika Martin,male,August 26 2012,1970,Papua,Romance
1766,Melanie Marchande,male,October 20 2008,1953,Sudan,Romance
1767,Edith Wharton,female,December 28 2017,1994,Dominica,Science Fiction
1768,Patricia Cornwell,female,April 10 2015,1971,Thailand,Thriller
1769,Austin Aslan,male,May 6 2007,1969,St Lucia,Science Fiction
1770,Piers Anthony,male,January 28 2018,1954,Guinea,Science Fiction
1771,Airicka Phoenix,female,November 26 2011,1980,Myanmar,Contemporary
1772,Raina Telgemeier,male,November 3 2010,1979,Bolivia,Comics Graphic Novels$Children S Books
1773,Jared Diamond,male,March 6 2008,1993,Macedonia,Science
1774,J.C. Valentine,female,December 7 2014,1991,Jamaica,Romance$Romance
1775,K.A. Linde,female,March 9 2015,1966,Bulgaria,Romance
1776,Eoin Colfer,male,February 21 2011,1995,Tuvalu,Fiction
1777,Amanda Springer,male,May 15 2007,1988,Comoros,Thriller
1778,Alice  Miller,female,August 12 2010,1990,El Salvador,Psychology
1779,Marsha Mehran,female,June 20 2013,1957,Comoros,Fiction
1780,Martha R. Carr,male,July 23 2008,1997,Kosovo,Thriller
1781,Dezső Kosztolányi,male,February 3 2007,1971,Cyprus,Fiction$Poetry
1782,Kade Boehme,male,November 12 2007,1980,Latvia,Gay And Lesbian
1783,J. Kenner,female,February 5 2007,1966,Estonia,Romance
1784,Cathy Maxwell,female,March 21 2011,1983,Montenegro,Historical$Romance
1785,Gina Kolata,female,November 13 2015,1986,Vatican,Health Mind Body$Science Fiction
1786,Marguerite Henry,female,July 20 2007,1992,Nepal,Children S Books$Outdoors Nature
1787,Joseph F. Girzone,male,June 12 2016,1986,Paraguay,Religion Spirituality
1788,Julia Scheeres,male,October 14 2007,1987,Hungary,Biographies Memoirs
1789,D.M. Jarrett,male,August 2 2014,1953,Bangladesh,Science Fiction
1790,Han Kang,female,March 6 2017,1950,Uruguay,Science Fiction
1791,Jay McInerney,male,August 14 2018,1981,Greece,Fiction
1792,Travis Casey,male,February 18 2017,1957,Guinea,Romance$Humor
1793,Christine Brodien-Jones,male,September 18 2012,1980,Laos,Children S Books$Science Fiction
1794,John Elder Robison,male,August 19 2019,1998,Namibia,Biographies Memoirs
1795,Karen Armstrong,male,April 5 2011,1998,Slovakia,Religion Spirituality$History
1796,George Bernard Shaw,male,May 11 2015,1965,Taiwan,Fiction$Theater
1797,Ellen Marie Wiseman,female,April 5 2019,1958,France,Fiction
1798,Krista Davis,female,August 18 2019,1969,Bahamas,Mystery
1799,Lian Hearn,male,May 17 2011,1956,Sierra Leone,Science Fiction
1800,Zoe Winters,female,August 8 2017,1995,Turkmenistan,Romance$Humor
1801,Melody Winter,female,February 24 2010,1963,Panama,Romance
1802,Anurag Mathur,male,June 2 2007,1972,Eritrea,Humor$Travel$Fiction
1803,Johann Wolfgang von Goethe,male,April 14 2019,1989,Hungary,Science Fiction$Poetry$Science Fiction
1804,Emily Godwin,female,November 21 2012,1986,Dominica,Young Adult
1805,May Water,female,January 24 2018,1951,France,Romance
1806,Lauren  Hunter,male,October 10 2015,1961,Albania,Romance$Paranormal
1807,Jennifer Crusie,female,November 2 2019,1953,Mali,Romance$Fiction
1808,H.M. Ward,female,November 19 2014,1997,Vatican,New Adult
1809,China Miéville,male,October 12 2017,1995,Cuba,Science Fiction$Fiction
1810,Norman Mailer,male,March 5 2011,1959,Gambia,Fiction$Science Fiction
1811,Catherine Marshall,female,January 19 2018,1969,Guyana,Religion Spirituality$Nonfiction
1812,Anna Banks,male,September 3 2019,1991,Guyana,Young Adult
1813,Annie Dillard,female,April 8 2008,1991,Qatar,Nonfiction$Fiction
1814,Laurie Bowler,female,November 28 2015,1962,Tajikistan,Horror$Romance
1815,Cherrie Lynn,female,December 2 2011,1998,Argentina,Romance
1816,Rahul Pandita,male,November 14 2018,1966,Syria,Fiction$Contemporary
1817,Idrus,male,March 4 2007,1957,Sri Lanka,Fiction
1818,Norman Rush,male,December 9 2012,1957,Marshall,Fiction
1819,Whitney G.,female,January 23 2010,1989,Djibouti,Romance
1820,Janna Yeshanova,female,May 27 2008,1952,Ecuador,Romance
1821,Judith Merkle Riley,female,December 20 2012,1975,Trinidad,Historical$Romance
1822,Laura Levine,male,April 4 2017,1991,Central African Republic,Thriller
1823,Rose Wynters,male,December 22 2008,1963,Syria,Romance
1824,Julie   Murphy,female,July 16 2015,1951,Croatia,Young Adult
1825,Harper Sloan,female,December 16 2017,1989,Oman,Contemporary
1826,Charlaine Harris,female,June 16 2012,1972,Singapore,Fantasy
1827,Julie Klassen,female,November 2 2010,1972,San Marino,Historical
1828,Richard P. Denney,male,June 16 2015,1980,Cyprus,Science Fiction$Mystery$Gay And Lesbian
1829,C.E. Murphy,female,August 9 2019,1958,Tonga,Science Fiction
1830,Natasha Hanova,female,May 28 2017,1998,Estonia,Paranormal
1831,Kara McDowell,female,August 19 2015,1960,Afghanistan,Young Adult
1832,Sophie Summers,male,May 17 2013,1972,Botswana,Fantasy
1833,Mike Chen,male,April 16 2010,1995,Malawi,Science Fiction
1834,Amy Sandas,female,September 13 2009,1954,Micronesia,Historical
1835,Michelle Rowen,female,June 26 2016,1967,Latvia,Romance$Science Fiction
1836,Jason Harvey,male,March 5 2007,1986,Pakistan,Nonfiction$Health Mind Body
1837,Alexandra Adornetto,female,June 12 2007,1975,San Marino,Romance$Paranormal$Romance
1838,E.M. Sky,male,January 4 2016,1994,Gabon,Science Fiction$Young Adult
1839,S.E. Hinton,female,March 9 2011,1955,Finland,Fiction$Young Adult
1840,Kristin Cashore,male,September 14 2016,1979,Portugal,Science Fiction
1841,Sandi Tan,female,September 15 2014,1977,Nigeria,Fiction
1842,Amy Engel,female,June 9 2008,1972,Monaco,Suspense
1843,Mercy Celeste,male,September 25 2007,1986,Germany,Romance
1844,Judith Starkston,female,August 1 2011,1989,Andorra,Fantasy
1845,R.L. Mathewson,male,July 2 2014,1998,Costa Rica,Romance
1846,Mie Hansson,female,December 1 2008,1996,Bulgaria,Poetry
1847,M.K. Schiller,female,July 6 2015,1967,Rwanda,Romance$Chick Lit
1848,Megan Crane,female,January 16 2015,1993,Benin,Romance
1849,Naomi Klein,male,October 6 2014,1968,Czech,Nonfiction
1850,Catherine Lockwood,male,February 5 2015,1970,Saudi Arabia,Alcoholism Recovery
1851,Jackie Griffiths,female,September 2 2012,1965,Albania,Philosophy
1852,Nicki Elson,female,March 22 2010,1967,Tajikistan,Romance$Humor
